צורת יישוב,שם יישוב,סמל יישוב,אזור סטטיסטי,אוכלוסייה בתחילת שנה,לידות,פטירות,ריבוי טבעי,עולים,איחוד משפחות,"ישראלים יוצאים לחו""ל","ישראלים חוזרים מחו""ל","מאזן ישראלים יוצאים לחו""ל וחוזרים מחו""ל",הגירה בתוך יישוב בתוך אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בתוך אזורים סטטיסטיים - נכנסים,הגירה בתוך יישוב בין אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בין אזורים סטטיסטיים - נכנסים,מאזן הגירה בתוך יישוב בין אזורים סטטיסטיים,הגירה בין יישובים - יוצאים,הגירה בין יישובים - נכנסים,מאזן הגירה בין יישובים,"סה""כ גידול",אוכלוסייה בסוף שנה,אחוז גידול שנתי
,תל אביב -יפו,5000,832,"3,832",72,34,38,4,5,..,9,8,42,42,108,182,74,170,84,-86,48,"3,880",1.25%
,תל אביב -יפו,5000,833,"4,946",91,29,62,..,..,7,5,..,60,60,102,132,30,218,94,-124,-18,"4,928",-0.36%
,תל אביב -יפו,5000,911,"4,584",91,33,58,..,..,..,5,..,54,54,175,153,-22,220,146,-74,-55,"4,529",-1.20%
,תל אביב -יפו,5000,912,"4,141",68,30,38,4,..,5,..,..,79,79,148,172,24,239,143,-96,-35,"4,106",-0.84%
,תל אביב -יפו,5000,914,957,17,..,16,5,-,..,..,..,14,14,46,66,20,40,41,..,43,"1,000",4.47%
,תל אביב -יפו,5000,915,"3,224",51,18,33,..,-,7,4,..,27,27,148,121,-27,151,97,-54,-54,"3,170",-1.67%
,תל אביב -יפו,5000,916,"1,794",42,14,28,-,..,-,5,5,8,8,49,78,29,87,65,-22,43,"1,837",2.41%
,תל אביב -יפו,5000,921,"4,657",82,43,39,..,4,13,..,-11,56,56,157,175,18,301,200,-101,-31,"4,626",-0.67%
,תל אביב -יפו,5000,922,"2,054",26,19,7,4,..,5,..,..,16,16,57,72,15,171,99,-72,-46,"2,008",-2.24%
,תל אביב -יפו,5000,923,269,..,18,-16,-,-,..,-,..,-,-,..,12,10,..,12,10,29,299,10.84%
,תל אביב -יפו,5000,924,"1,255",18,17,..,-,..,5,-,-5,12,12,43,40,..,22,15,-7,-12,"1,243",-0.96%
,תל אביב -יפו,5000,925,"3,122",50,26,24,6,..,..,..,..,35,35,119,130,11,145,64,-81,-7,"3,115",-0.21%
,תל אביב -יפו,5000,926,"3,120",51,36,15,4,..,9,..,-8,24,24,111,243,132,136,103,-33,129,"3,249",4.14%
,תל אביב -יפו,5000,927,"5,125",102,47,55,..,6,14,12,..,74,74,177,202,25,254,143,-111,-32,"5,093",-0.63%
,תל אביב -יפו,5000,929,"4,095",65,51,14,9,4,13,7,-6,34,34,180,142,-38,204,150,-54,114,"4,209",2.78%
,תל אביב -יפו,5000,931,"1,522",16,35,-19,10,..,12,8,-4,11,11,73,81,8,82,33,-49,-91,"1,431",-5.98%
,תל אביב -יפו,5000,932,750,16,8,8,..,..,4,-,-4,5,5,38,36,..,43,34,-9,5,756,0.68%
,תל אביב -יפו,5000,933,"3,522",51,41,10,..,..,..,..,-,38,38,187,137,-50,185,100,-85,-113,"3,409",-3.20%
,תל אביב -יפו,5000,934,"1,707",15,30,-15,4,8,11,4,-7,7,7,92,67,-25,110,59,-51,-91,"1,615",-5.34%
,תל אביב -יפו,5000,935,"1,698",24,18,6,..,..,5,6,..,12,12,89,54,-35,95,46,-49,-70,"1,627",-4.14%
,תל אביב -יפו,5000,936,"3,375",72,25,47,5,..,..,..,..,48,48,113,259,146,148,132,-16,191,"3,566",5.65%
,תל אביב -יפו,5000,937,"5,206",69,38,31,9,..,17,4,-13,30,30,148,145,..,173,66,-107,-45,"5,161",-0.86%
,תל אביב -יפו,5000,941,"4,064",68,36,32,7,..,5,..,..,34,34,98,194,96,101,78,-23,132,"4,196",3.24%
,תל אביב -יפו,5000,942,"5,105",85,35,50,4,..,26,5,-21,31,31,131,137,6,171,51,-120,-64,"5,041",-1.26%
,תל אביב -יפו,5000,943,"3,028",42,8,34,4,..,9,..,-6,..,..,87,78,-9,114,37,-77,-40,"2,988",-1.33%
,תל אביב -יפו,5000,944,"3,563",52,30,22,4,..,7,5,..,26,26,99,87,-12,130,44,-86,-54,"3,509",-1.51%
,תל אביב -יפו,5000,945,"2,643",37,22,15,9,4,10,4,-6,13,13,133,93,-40,137,66,-71,-101,"2,543",-3.81%
,תל אביב -יפו,5000,946,"3,305",52,35,17,..,..,6,..,-4,25,25,86,163,77,156,58,-98,5,"3,309",0.14%
,תל אביב -יפו,5000,947,"4,799",75,44,31,13,..,9,9,-,38,38,141,153,12,200,70,-130,-76,"4,723",-1.58%
,בני ברק,6100,112,"2,595",99,9,90,-,-,-,-,-,12,12,143,112,-31,97,30,-67,..,"2,597",0.07%
,בני ברק,6100,113,"3,618",132,16,116,-,-,..,..,..,22,22,123,129,6,126,81,-45,67,"3,685",1.84%
,בני ברק,6100,114,"4,436",162,6,156,..,..,..,..,..,12,12,154,175,21,167,66,-101,64,"4,500",1.44%
,בני ברק,6100,115,"6,727",206,17,189,..,-,..,..,-,106,106,196,219,23,290,89,-201,67,"6,795",1.00%
,בני ברק,6100,116,60,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,18,78,29.64%
,בני ברק,6100,121,"3,842",122,31,91,6,..,..,..,..,61,61,103,146,43,272,111,-161,-11,"3,831",-0.29%
,בני ברק,6100,122,"5,190",268,31,237,9,..,12,..,-9,110,110,134,624,490,237,149,-88,667,"5,857",12.85%
,בני ברק,6100,123,"9,439",437,50,387,..,..,11,6,-5,191,191,337,470,133,373,180,-193,434,"9,872",4.60%
,בני ברק,6100,211,"6,787",254,22,232,..,-,..,-,..,118,118,359,267,-92,251,67,-184,55,"6,842",0.81%
,בני ברק,6100,212,"4,964",199,16,183,15,-,..,4,..,42,42,231,230,..,121,47,-74,147,"5,110",2.95%
,בני ברק,6100,213,"5,148",201,21,180,9,-,10,..,-8,33,33,281,196,-85,134,71,-63,14,"5,161",0.27%
,בני ברק,6100,214,"4,074",168,24,144,4,-,-,..,..,35,35,177,190,13,88,34,-54,93,"4,167",2.29%
,בני ברק,6100,221,"4,345",197,17,180,..,-,..,-,..,29,29,291,187,-104,157,41,-116,-40,"4,305",-0.92%
,בני ברק,6100,222,"7,477",352,20,332,5,-,..,-,..,103,103,290,422,132,230,156,-74,345,"7,823",4.62%
,בני ברק,6100,223,"9,544",335,27,308,4,..,10,4,-6,129,129,388,418,30,256,109,-147,392,"9,936",4.11%
,בני ברק,6100,231,"3,492",106,24,82,-,..,..,-,..,34,34,139,162,23,164,96,-68,33,"3,525",0.94%
,בני ברק,6100,232,"7,935",274,33,241,..,..,..,..,..,127,127,394,291,-103,363,160,-203,-39,"7,895",-0.50%
,בני ברק,6100,233,"8,285",355,29,326,10,-,4,4,-,130,130,461,388,-73,257,126,-131,87,"8,371",1.05%
,בני ברק,6100,311,"7,056",264,25,239,4,-,..,..,-,49,49,328,295,-33,221,77,-144,-6,"7,049",-0.09%
,בני ברק,6100,312,"4,762",210,22,188,4,-,..,..,..,44,44,281,252,-29,105,63,-42,236,"4,997",4.95%
,בני ברק,6100,313,"4,721",141,14,127,..,-,..,..,..,21,21,131,160,29,74,42,-32,205,"4,926",4.35%
,בני ברק,6100,314,"5,653",208,30,178,5,-,..,..,..,73,73,285,272,-13,192,90,-102,80,"5,733",1.42%
,בני ברק,6100,315,"10,432",386,27,359,9,-,..,..,..,203,203,297,430,133,348,189,-159,324,"10,756",3.11%
,בני ברק,6100,321,"5,325",164,42,122,4,-,4,..,..,49,49,248,169,-79,120,61,-59,199,"5,524",3.75%
,בני ברק,6100,322,"7,139",250,24,226,..,-,13,-,-13,60,60,255,189,-66,190,82,-108,13,"7,152",0.18%
,בני ברק,6100,323,"7,038",273,32,241,18,-,..,4,..,53,53,233,231,..,193,77,-116,-24,"7,014",-0.34%
,בני ברק,6100,411,"9,833",470,31,439,11,-,12,7,-5,279,279,324,352,28,348,193,-155,408,"10,241",4.15%
,בני ברק,6100,412,"2,193",62,10,52,15,-,-,..,..,20,20,115,112,..,79,29,-50,-57,"2,136",-2.58%
,בני ברק,6100,413,"5,024",153,14,139,..,-,-,..,..,44,44,246,156,-90,201,58,-143,-23,"5,001",-0.46%
,בני ברק,6100,414,"2,938",101,9,92,..,-,-,..,..,8,8,166,140,-26,118,41,-77,30,"2,968",1.00%
,בני ברק,6100,415,"3,855",168,12,156,..,-,-,-,-,67,67,172,135,-37,181,100,-81,100,"3,955",2.60%
,בני ברק,6100,421,"2,276",-,12,-12,..,-,..,-,..,-,-,..,6,..,8,12,4,-86,"2,190",-3.78%
,בני ברק,6100,422,"3,620",168,10,158,4,-,..,5,..,34,34,175,122,-53,130,87,-43,73,"3,693",2.01%
,בני ברק,6100,423,"4,349",204,15,189,5,-,-,..,..,54,54,204,212,8,134,71,-63,147,"4,496",3.37%
,בני ברק,6100,424,"4,893",157,9,148,8,-,-,..,..,70,70,210,124,-86,202,48,-154,..,"4,896",0.04%
,בני ברק,6100,425,"4,839",181,16,165,..,-,..,-,..,82,82,228,183,-45,194,62,-132,-55,"4,784",-1.14%
,בני ברק,6100,426,"6,574",279,20,259,..,-,-,..,..,116,116,222,172,-50,348,170,-178,173,"6,747",2.63%
,בני ברק,6100,427,"4,161",193,14,179,4,-,-,..,..,60,60,259,245,-14,142,60,-82,22,"4,183",0.53%
,נתניה,7400,0,-,-,..,..,..,-,-,-,-,-,-,..,-,..,-,-,-,-,-,0.00%
,נתניה,7400,111,829,8,5,..,..,..,-,-,-,..,..,19,42,23,18,17,..,17,846,2.07%
,נתניה,7400,112,"3,011",55,20,35,..,-,..,..,-,19,19,90,102,12,116,41,-75,..,"3,009",-0.05%
,נתניה,7400,113,"4,812",110,26,84,6,..,..,..,..,31,31,183,151,-32,165,84,-81,-4,"4,807",-0.09%
,נתניה,7400,114,"9,304",144,36,108,8,-,5,5,-,117,117,377,312,-65,271,137,-134,-154,"9,150",-1.65%
,נתניה,7400,115,"23,382",336,39,297,79,..,27,28,..,625,625,427,691,264,738,413,-325,309,"23,691",1.32%
,נתניה,7400,122,753,12,..,11,..,..,-,4,4,-,-,25,30,5,27,7,-20,7,761,0.97%
,נתניה,7400,123,111,-,..,..,6,-,-,-,-,-,-,8,..,-6,5,..,..,4,116,3.82%
,נתניה,7400,211,"3,953",77,52,25,9,7,14,..,-11,46,46,214,140,-74,96,60,-36,-85,"3,868",-2.14%
,נתניה,7400,212,"3,421",63,42,21,..,5,..,..,..,35,35,200,144,-56,83,56,-27,-40,"3,380",-1.18%
,נתניה,7400,213,"3,678",66,17,49,..,..,..,6,5,45,45,127,199,72,95,54,-41,190,"3,868",5.15%
,נתניה,7400,221,"4,786",90,27,63,12,..,8,10,..,52,52,212,219,7,122,66,-56,-7,"4,778",-0.15%
,נתניה,7400,222,"2,349",48,27,21,9,..,..,..,..,21,21,86,103,17,76,50,-26,31,"2,380",1.32%
,נתניה,7400,223,"3,953",123,19,104,4,-,..,..,-,73,73,43,44,..,93,52,-41,111,"4,064",2.80%
,נתניה,7400,231,"5,004",87,50,37,23,10,17,6,-11,57,57,277,271,-6,123,93,-30,24,"5,028",0.48%
,נתניה,7400,232,"3,528",48,33,15,17,..,16,6,-10,23,23,239,181,-58,103,63,-40,-87,"3,441",-2.46%
,נתניה,7400,233,"3,123",35,54,-19,26,..,25,4,-21,24,24,228,163,-65,53,67,14,-80,"3,043",-2.57%
,נתניה,7400,241,"4,757",70,33,37,36,..,13,8,-5,73,73,278,220,-58,116,74,-42,-25,"4,732",-0.53%
,נתניה,7400,242,"3,187",48,21,27,21,-,9,..,-7,15,15,186,162,-24,91,43,-48,-27,"3,160",-0.84%
,נתניה,7400,243,"3,644",67,33,34,45,..,10,4,-6,49,49,251,348,97,143,71,-72,92,"3,736",2.52%
,נתניה,7400,311,"2,823",47,53,-6,31,10,26,4,-22,36,36,247,196,-51,85,68,-17,-49,"2,774",-1.75%
,נתניה,7400,312,"2,146",21,43,-22,48,..,29,8,-21,28,28,195,170,-25,85,88,..,-36,"2,110",-1.69%
,נתניה,7400,313,"2,730",25,39,-14,52,6,18,12,-6,29,29,222,172,-50,80,85,5,-5,"2,725",-0.18%
,נתניה,7400,321,"3,477",21,64,-43,68,..,23,6,-17,45,45,247,195,-52,77,83,6,-196,"3,281",-5.63%
,נתניה,7400,322,"6,981",55,104,-49,545,8,457,35,-422,105,105,483,331,-152,177,234,57,-516,"6,465",-7.39%
,נתניה,7400,323,"3,516",35,59,-24,93,..,49,6,-43,46,46,231,170,-61,95,89,-6,-111,"3,406",-3.15%
,נתניה,7400,324,"2,018",16,47,-31,63,..,30,8,-22,13,13,161,157,-4,64,70,6,-5,"2,014",-0.23%
,נתניה,7400,331,"2,494",34,35,..,32,..,19,7,-12,21,21,203,192,-11,75,67,-8,-29,"2,464",-1.18%
,נתניה,7400,332,"2,321",49,26,23,7,..,..,..,-,8,8,174,155,-19,87,34,-53,-58,"2,264",-2.49%
,נתניה,7400,333,"3,464",74,23,51,4,..,8,..,-6,22,22,188,142,-46,91,60,-31,-20,"3,444",-0.59%
,נתניה,7400,334,"3,032",31,43,-12,12,5,17,7,-10,27,27,203,159,-44,96,60,-36,-77,"2,955",-2.54%
,נתניה,7400,341,"4,381",36,51,-15,44,5,15,13,..,41,41,227,196,-31,101,85,-16,..,"4,384",0.06%
,נתניה,7400,342,"2,802",35,25,10,16,..,17,4,-13,27,27,143,164,21,70,32,-38,-18,"2,785",-0.64%
,נתניה,7400,343,"2,733",49,20,29,9,-,..,4,..,12,12,251,174,-77,57,61,4,-15,"2,718",-0.55%
,נתניה,7400,351,"5,931",124,47,77,10,..,..,4,..,75,75,273,451,178,162,123,-39,250,"6,181",4.22%
,נתניה,7400,352,"10,566",174,23,151,14,4,20,..,-19,245,245,367,549,182,189,147,-42,326,"10,892",3.09%
,נתניה,7400,353,974,18,8,10,-,-,..,..,..,..,..,68,89,21,32,24,-8,29,"1,003",2.93%
,נתניה,7400,354,"2,609",38,20,18,57,..,22,8,-14,13,13,147,137,-10,51,52,..,-13,"2,596",-0.49%
,נתניה,7400,355,"2,047",40,11,29,106,..,14,9,-5,42,42,118,131,13,50,91,41,65,"2,112",3.19%
,נתניה,7400,411,"1,733",11,6,5,8,-,8,8,-,..,..,34,97,63,20,22,..,83,"1,816",4.80%
,נתניה,7400,412,"1,843",27,16,11,39,..,58,5,-53,33,33,119,164,45,34,74,40,130,"1,973",7.04%
,נתניה,7400,413,"4,119",54,27,27,31,..,20,..,-18,69,69,189,279,90,92,95,..,115,"4,234",2.79%
,נתניה,7400,414,"4,803",91,16,75,36,..,13,11,..,111,111,165,455,290,97,194,97,455,"5,258",9.46%
,נתניה,7400,421,"3,731",75,51,24,21,5,14,..,-11,38,38,233,156,-77,104,81,-23,-48,"3,683",-1.29%
,נתניה,7400,422,"4,977",86,39,47,29,4,21,7,-14,59,59,246,150,-96,132,103,-29,-29,"4,949",-0.58%
,נתניה,7400,431,"5,027",115,42,73,10,5,..,..,..,78,78,254,120,-134,164,75,-89,-130,"4,897",-2.58%
,נתניה,7400,432,"1,842",43,16,27,8,..,..,-,..,15,15,99,84,-15,32,24,-8,13,"1,855",0.71%
,נתניה,7400,511,"3,536",65,32,33,5,..,10,4,-6,25,25,183,121,-62,113,62,-51,-60,"3,475",-1.71%
,נתניה,7400,512,"1,649",27,18,9,4,5,..,..,-,7,7,101,70,-31,78,37,-41,-40,"1,609",-2.42%
,נתניה,7400,513,"3,071",52,34,18,9,4,9,..,-8,29,29,172,116,-56,92,57,-35,-59,"3,012",-1.93%
,נתניה,7400,521,"4,371",81,41,40,..,..,6,4,..,51,51,234,171,-63,130,108,-22,-36,"4,335",-0.82%
,נתניה,7400,522,"3,207",55,34,21,4,-,13,5,-8,32,32,160,92,-68,97,50,-47,-58,"3,149",-1.82%
,נתניה,7400,523,"4,029",68,15,53,4,..,10,7,..,46,46,176,119,-57,99,63,-36,-24,"4,005",-0.60%
,נתניה,7400,531,"7,827",141,17,124,114,..,47,26,-21,327,327,198,566,368,205,499,294,842,"8,669",10.76%
,נתניה,7400,532,"4,002",29,15,14,12,-,12,9,..,29,29,145,151,6,99,73,-26,..,"4,000",-0.06%
,נתניה,7400,533,"4,179",36,27,9,19,..,16,4,-12,66,66,175,125,-50,98,84,-14,-49,"4,131",-1.16%
,נתניה,7400,534,"2,776",29,5,24,23,-,13,-,-13,5,5,79,91,12,62,28,-34,-126,"2,650",-4.53%
,פתח תקווה,7900,0,-,-,4,-4,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%
,פתח תקווה,7900,111,"1,914",38,4,34,4,-,-,-,-,12,12,77,102,25,66,74,8,66,"1,980",3.46%
,פתח תקווה,7900,112,"4,508",77,33,44,..,7,4,4,-,57,57,176,235,59,124,141,17,139,"4,647",3.09%
,פתח תקווה,7900,113,"6,283",22,7,15,..,..,..,..,-,12,12,87,91,4,85,46,-39,-11,"6,272",-0.17%
,פתח תקווה,7900,114,"3,730",63,40,23,5,9,15,..,-14,66,66,198,216,18,107,135,28,82,"3,812",2.20%
,פתח תקווה,7900,115,"14,893",222,49,173,10,4,26,14,-12,243,243,249,504,255,452,368,-84,315,"15,207",2.11%
,פתח תקווה,7900,121,"19,542",204,34,170,11,..,18,11,-7,660,660,188,781,593,461,454,-7,753,"20,295",3.85%
,פתח תקווה,7900,122,"5,006",72,18,54,..,..,11,..,-8,42,42,274,120,-154,114,134,20,-86,"4,920",-1.71%
,פתח תקווה,7900,123,"3,608",59,14,45,..,..,..,..,..,27,27,173,70,-103,78,81,..,-71,"3,537",-1.97%
,פתח תקווה,7900,125,46,-,..,..,..,-,..,-,..,-,-,-,..,..,..,-,..,-6,40,-12.86%
,פתח תקווה,7900,127,"2,350",39,26,13,..,..,4,..,..,32,32,84,42,-42,71,65,-6,-54,"2,296",-2.31%
,פתח תקווה,7900,128,881,21,-,21,5,-,9,..,-6,4,4,9,49,40,73,202,129,157,"1,038",17.86%
,פתח תקווה,7900,131,"5,302",57,20,37,16,..,11,10,..,82,82,110,213,103,129,178,49,229,"5,531",4.32%
,פתח תקווה,7900,132,799,11,8,..,-,..,-,-,-,-,-,43,10,-33,24,22,..,-85,713,-10.69%
,פתח תקווה,7900,133,"2,185",35,22,13,6,..,9,..,-8,14,14,139,67,-72,119,91,-28,-90,"2,095",-4.10%
,פתח תקווה,7900,134,"1,902",25,10,15,..,4,6,-,-6,22,22,69,86,17,47,72,25,-115,"1,786",-6.07%
,פתח תקווה,7900,141,"1,624",42,13,29,..,-,..,-,..,19,19,95,58,-37,68,71,..,..,"1,622",-0.10%
,פתח תקווה,7900,142,"1,444",33,13,20,..,-,..,..,-,9,9,75,51,-24,34,53,19,8,"1,452",0.55%
,פתח תקווה,7900,143,"2,806",37,20,17,..,4,5,..,..,14,14,170,82,-88,115,105,-10,-87,"2,719",-3.11%
,פתח תקווה,7900,144,"2,138",37,18,19,4,6,12,..,-9,14,14,144,112,-32,61,95,34,20,"2,158",0.94%
,פתח תקווה,7900,145,"3,254",63,38,25,12,12,8,..,-5,66,66,200,145,-55,104,84,-20,-25,"3,229",-0.77%
,פתח תקווה,7900,146,"1,381",24,15,9,17,4,..,5,..,14,14,86,47,-39,40,44,4,15,"1,396",1.05%
,פתח תקווה,7900,211,"12,973",110,24,86,16,..,6,..,-4,127,127,169,333,164,175,216,41,313,"13,287",2.42%
,פתח תקווה,7900,212,"7,716",74,20,54,6,..,8,5,..,81,81,217,477,260,138,268,130,458,"8,174",5.93%
,פתח תקווה,7900,213,"1,334",20,8,12,..,-,-,-,-,4,4,28,80,52,50,15,-35,12,"1,347",0.91%
,פתח תקווה,7900,221,"3,099",44,20,24,-,..,4,-,-4,13,13,94,138,44,100,69,-31,35,"3,134",1.14%
,פתח תקווה,7900,222,"3,352",56,19,37,..,-,-,4,4,40,40,110,184,74,77,168,91,201,"3,553",6.00%
,פתח תקווה,7900,223,"3,689",67,23,44,6,..,6,..,-5,36,36,213,161,-52,115,82,-33,..,"3,688",-0.05%
,פתח תקווה,7900,224,"3,114",53,32,21,..,..,6,7,..,15,15,159,138,-21,93,111,18,34,"3,149",1.10%
,פתח תקווה,7900,231,"6,506",95,49,46,26,9,11,14,..,47,47,332,234,-98,166,189,23,21,"6,526",0.32%
,פתח תקווה,7900,232,"3,268",47,39,8,4,8,8,10,..,21,21,217,163,-54,141,112,-29,-44,"3,225",-1.34%
,פתח תקווה,7900,233,"3,088",51,19,32,..,..,10,..,-8,11,11,149,127,-22,84,65,-19,-14,"3,074",-0.46%
,פתח תקווה,7900,234,"3,264",38,61,-23,8,5,9,-,-9,23,23,187,144,-43,95,92,..,-66,"3,198",-2.03%
,פתח תקווה,7900,235,"2,710",56,44,12,..,9,4,..,..,25,25,143,141,..,101,112,11,36,"2,745",1.32%
,פתח תקווה,7900,236,"3,775",93,45,48,6,-,..,..,-,62,62,229,240,11,113,198,85,140,"3,915",3.71%
,פתח תקווה,7900,311,"4,820",52,80,-28,30,16,37,9,-28,57,57,374,201,-173,203,180,-23,-271,"4,549",-5.63%
,פתח תקווה,7900,312,"4,830",75,71,4,32,12,15,12,..,64,64,294,291,..,190,232,42,138,"4,968",2.86%
,פתח תקווה,7900,313,"3,637",50,46,4,19,11,31,8,-23,34,34,265,181,-84,171,127,-44,-127,"3,510",-3.48%
,פתח תקווה,7900,321,"4,491",59,53,6,6,10,11,9,..,59,59,291,238,-53,182,111,-71,-76,"4,415",-1.69%
,פתח תקווה,7900,322,"2,441",30,27,..,8,5,9,..,-7,15,15,186,125,-61,115,57,-58,-63,"2,379",-2.56%
,פתח תקווה,7900,323,"2,894",49,34,15,4,4,11,..,-9,20,20,202,155,-47,107,99,-8,-23,"2,871",-0.78%
,פתח תקווה,7900,324,"3,115",51,23,28,4,4,6,..,..,58,58,146,217,71,136,111,-25,100,"3,215",3.22%
,פתח תקווה,7900,411,"1,646",18,9,9,5,..,4,-,-4,6,6,49,55,6,44,29,-15,-,"1,646",0.02%
,פתח תקווה,7900,412,"2,505",48,28,20,24,6,6,..,-5,21,21,162,61,-101,101,84,-17,-60,"2,445",-2.41%
,פתח תקווה,7900,413,"1,984",33,13,20,..,..,5,..,..,11,11,87,96,9,50,47,..,36,"2,020",1.82%
,פתח תקווה,7900,414,"3,663",60,25,35,-,..,6,..,-4,25,25,154,95,-59,135,56,-79,-52,"3,611",-1.43%
,פתח תקווה,7900,415,"2,510",52,27,25,6,..,..,-,..,11,11,118,103,-15,60,81,21,59,"2,569",2.35%
,פתח תקווה,7900,421,"3,259",65,44,21,4,..,..,4,..,43,43,111,138,27,106,89,-17,37,"3,296",1.14%
,פתח תקווה,7900,422,"2,846",53,11,42,4,-,..,..,..,17,17,85,106,21,116,30,-86,-20,"2,826",-0.70%
,פתח תקווה,7900,423,"5,584",98,31,67,..,4,5,..,..,70,70,179,291,112,182,139,-43,164,"5,748",2.94%
,פתח תקווה,7900,424,"4,277",58,26,32,11,4,..,4,..,55,55,240,197,-43,118,83,-35,-13,"4,264",-0.31%
,פתח תקווה,7900,431,"2,538",43,15,28,..,..,..,..,..,14,14,128,71,-57,77,59,-18,-39,"2,499",-1.55%
,פתח תקווה,7900,432,"2,818",52,26,26,..,..,9,..,-7,18,18,128,113,-15,135,83,-52,98,"2,916",3.49%
,פתח תקווה,7900,433,"4,082",61,37,24,..,7,11,6,-5,38,38,202,197,-5,178,91,-87,-22,"4,060",-0.55%
,פתח תקווה,7900,434,"1,460",30,7,23,..,..,..,..,..,23,23,58,51,-7,80,63,-17,-30,"1,430",-2.07%
,פתח תקווה,7900,511,"1,967",48,4,44,-,-,-,..,..,8,8,24,40,16,62,61,..,170,"2,137",8.64%
,פתח תקווה,7900,512,"3,407",105,19,86,10,..,-,..,..,88,88,103,71,-32,137,74,-63,24,"3,431",0.70%
,פתח תקווה,7900,513,"3,512",87,33,54,8,4,5,..,..,59,59,174,65,-109,156,99,-57,-62,"3,450",-1.76%
,פתח תקווה,7900,514,768,8,8,-,-,..,-,-,-,..,..,23,34,11,30,16,-14,..,766,-0.27%
,פתח תקווה,7900,515,"1,753",41,20,21,-,..,..,..,..,12,12,94,21,-73,64,58,-6,-49,"1,704",-2.78%
,פתח תקווה,7900,516,"1,269",15,7,8,-,-,..,5,..,19,19,33,61,28,50,50,-,34,"1,303",2.67%
,פתח תקווה,7900,521,"5,474",131,21,110,6,-,..,6,4,59,59,224,204,-20,169,189,20,132,"5,606",2.41%
,פתח תקווה,7900,522,"6,759",174,22,152,6,-,..,..,..,113,113,177,182,5,250,277,27,95,"6,854",1.40%
,פתח תקווה,7900,523,"9,003",240,6,234,..,-,8,..,-5,143,143,173,129,-44,310,224,-86,70,"9,074",0.78%
,פתח תקווה,7900,524,"5,159",140,38,102,9,4,7,4,..,83,83,190,135,-55,181,149,-32,..,"5,162",0.06%
,ראשון לציון,8300,0,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%
,ראשון לציון,8300,111,318,-,33,-33,-,-,-,-,-,..,..,..,18,16,..,..,..,-9,309,-2.96%
,ראשון לציון,8300,113,"3,174",33,11,22,..,..,7,4,..,29,29,167,83,-84,66,38,-28,-78,"3,096",-2.45%
,ראשון לציון,8300,114,"4,734",79,45,34,8,..,18,7,-11,62,62,209,195,-14,123,141,18,54,"4,787",1.13%
,ראשון לציון,8300,115,"4,634",74,42,32,22,4,4,4,-,49,49,287,208,-79,120,121,..,-14,"4,620",-0.30%
,ראשון לציון,8300,116,"4,210",54,21,33,5,8,9,6,..,24,24,186,183,..,120,137,17,67,"4,276",1.58%
,ראשון לציון,8300,117,"4,210",42,69,-27,13,6,23,5,-18,31,31,213,264,51,124,157,33,51,"4,261",1.21%
,ראשון לציון,8300,121,"4,111",60,57,..,7,10,21,8,-13,45,45,286,205,-81,135,131,-4,-102,"4,009",-2.48%
,ראשון לציון,8300,122,"3,418",49,35,14,12,9,..,6,..,28,28,202,149,-53,141,70,-71,-81,"3,337",-2.36%
,ראשון לציון,8300,123,"2,905",38,29,9,20,5,5,6,..,23,23,197,151,-46,80,79,..,-4,"2,901",-0.15%
,ראשון לציון,8300,124,"2,405",20,30,-10,7,..,6,..,-5,6,6,72,120,48,36,46,10,48,"2,453",2.00%
,ראשון לציון,8300,125,"6,202",101,41,60,18,4,13,9,-4,90,90,305,273,-32,178,181,..,49,"6,251",0.79%
,ראשון לציון,8300,126,"8,913",138,45,93,6,7,9,6,..,207,207,201,322,121,241,168,-73,171,"9,085",1.92%
,ראשון לציון,8300,211,"4,434",62,29,33,..,4,..,..,-,9,9,127,104,-23,97,67,-30,-4,"4,430",-0.09%
,ראשון לציון,8300,212,"7,055",152,38,114,5,10,..,..,..,88,88,173,753,580,190,718,528,"1,257","8,313",17.82%
,ראשון לציון,8300,213,"5,200",98,31,67,6,6,6,..,-5,42,42,177,148,-29,145,111,-34,4,"5,204",0.08%
,ראשון לציון,8300,214,"5,140",66,14,52,4,..,4,-,-4,66,66,194,158,-36,126,108,-18,119,"5,259",2.32%
,ראשון לציון,8300,215,"4,863",71,18,53,..,..,..,10,8,20,20,171,123,-48,134,87,-47,-41,"4,821",-0.85%
,ראשון לציון,8300,221,"5,180",56,19,37,4,4,18,4,-14,33,33,137,128,-9,115,54,-61,-36,"5,145",-0.69%
,ראשון לציון,8300,222,"2,866",40,28,12,5,-,10,..,-9,30,30,140,128,-12,104,67,-37,-46,"2,821",-1.60%
,ראשון לציון,8300,223,"5,952",84,44,40,15,6,6,5,..,56,56,139,462,323,137,154,17,276,"6,229",4.64%
,ראשון לציון,8300,224,"2,587",26,17,9,..,..,4,5,..,15,15,84,93,9,70,68,..,30,"2,617",1.17%
