צורת יישוב,שם יישוב,סמל יישוב,אזור סטטיסטי,אוכלוסייה בתחילת שנה,לידות,פטירות,ריבוי טבעי,עולים,איחוד משפחות,"ישראלים יוצאים לחו""ל","ישראלים חוזרים מחו""ל","מאזן ישראלים יוצאים לחו""ל וחוזרים מחו""ל",הגירה בתוך יישוב בתוך אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בתוך אזורים סטטיסטיים - נכנסים,הגירה בתוך יישוב בין אזורים סטטיסטיים - יוצאים,הגירה בתוך יישוב בין אזורים סטטיסטיים - נכנסים,מאזן הגירה בתוך יישוב בין אזורים סטטיסטיים,הגירה בין יישובים - יוצאים,הגירה בין יישובים - נכנסים,מאזן הגירה בין יישובים,"סה""כ גידול",אוכלוסייה בסוף שנה,אחוז גידול שנתי
,ירושלים,3000,543,"1,261",..,..,-,5,..,-,-,-,-,-,23,5,-18,17,9,-8,-597,664,-47.33%
,ירושלים,3000,812,"3,619",123,24,99,29,-,13,..,-10,72,72,187,139,-48,99,97,..,67,"3,686",1.85%
,ירושלים,3000,821,"8,612",467,47,420,..,-,..,5,..,145,145,241,194,-47,333,105,-228,136,"8,748",1.58%
,ירושלים,3000,822,"6,880",242,24,218,..,-,5,9,4,84,84,356,194,-162,261,94,-167,17,"6,897",0.25%
,ירושלים,3000,823,"4,139",160,10,150,..,-,..,..,-,29,29,172,136,-36,206,72,-134,10,"4,149",0.23%
,ירושלים,3000,824,"9,446",427,32,395,10,-,10,12,..,103,103,370,296,-74,290,116,-174,408,"9,854",4.32%
,ירושלים,3000,825,"2,887",110,14,96,..,-,..,..,..,14,14,85,67,-18,108,45,-63,-83,"2,804",-2.88%
,ירושלים,3000,826,"6,194",279,29,250,6,-,..,..,-,76,76,250,259,9,246,104,-142,130,"6,324",2.10%
,ירושלים,3000,832,"3,823",128,14,114,11,-,..,5,..,29,29,211,136,-75,127,85,-42,279,"4,102",7.31%
,ירושלים,3000,833,"1,502",72,5,67,5,-,..,..,-,23,23,101,52,-49,39,38,..,22,"1,524",1.49%
,ירושלים,3000,834,"4,416",199,36,163,11,-,..,..,..,49,49,209,193,-16,137,115,-22,-17,"4,399",-0.38%
,ירושלים,3000,835,"2,470",124,18,106,..,-,..,..,-,11,11,133,95,-38,91,30,-61,217,"2,687",8.78%
,ירושלים,3000,836,"4,120",182,22,160,16,-,7,..,-4,10,10,175,199,24,162,68,-94,150,"4,270",3.63%
,ירושלים,3000,841,"1,851",52,15,37,36,..,..,..,..,11,11,161,87,-74,91,82,-9,30,"1,881",1.63%
,ירושלים,3000,842,840,30,5,25,25,-,7,4,..,..,..,56,25,-31,34,32,..,-53,786,-6.37%
,ירושלים,3000,843,821,15,8,7,11,..,10,..,-9,13,13,63,63,-,43,100,57,112,933,13.64%
,ירושלים,3000,846,"1,037",11,12,..,15,..,4,4,-,7,7,90,40,-50,63,72,9,143,"1,180",13.74%
,ירושלים,3000,847,774,15,10,5,15,-,..,5,4,-,-,69,77,8,62,68,6,61,835,7.91%
,ירושלים,3000,848,"1,203",17,6,11,54,..,15,13,..,16,16,109,134,25,114,160,46,109,"1,312",9.06%
,ירושלים,3000,851,894,30,7,23,..,..,4,..,..,..,..,32,19,-13,30,24,-6,-6,888,-0.62%
,ירושלים,3000,852,714,23,4,19,..,..,..,..,..,5,5,73,80,7,69,51,-18,..,713,-0.17%
,ירושלים,3000,853,"1,765",46,23,23,43,-,5,6,..,30,30,134,139,5,102,117,15,73,"1,838",4.16%
,ירושלים,3000,854,"1,816",35,12,23,26,..,6,-,-6,13,13,173,125,-48,142,132,-10,-43,"1,773",-2.37%
,ירושלים,3000,855,"1,548",50,10,40,15,..,8,7,..,18,18,146,111,-35,126,143,17,29,"1,577",1.89%
,ירושלים,3000,856,"1,037",22,6,16,5,-,4,4,-,5,5,92,89,..,65,71,6,22,"1,059",2.13%
,ירושלים,3000,857,"1,140",25,4,21,10,..,..,..,..,-,-,90,78,-12,82,61,-21,-8,"1,132",-0.70%
,ירושלים,3000,858,714,23,11,12,12,-,5,4,..,8,8,57,53,-4,26,23,..,13,728,1.84%
,ירושלים,3000,861,913,15,24,-9,8,-,7,..,-5,..,..,47,30,-17,12,34,22,-8,905,-0.89%
,ירושלים,3000,862,"1,447",36,5,31,35,..,..,..,..,19,19,103,99,-4,79,63,-16,39,"1,486",2.72%
,ירושלים,3000,863,"3,031",67,29,38,49,-,7,8,..,71,71,211,198,-13,202,251,49,113,"3,143",3.72%
,ירושלים,3000,864,"2,604",62,33,29,33,-,6,4,..,29,29,222,223,..,149,196,47,105,"2,710",4.04%
,ירושלים,3000,911,"3,051",118,20,98,15,..,14,..,-13,27,27,119,64,-55,103,23,-80,-66,"2,985",-2.16%
,ירושלים,3000,912,"5,123",273,19,254,37,-,15,7,-8,60,60,193,123,-70,188,119,-69,165,"5,288",3.22%
,ירושלים,3000,913,"2,307",78,24,54,13,-,5,4,..,11,11,63,46,-17,66,40,-26,..,"2,309",0.09%
,ירושלים,3000,914,"8,366",289,21,268,57,..,10,14,4,221,221,218,413,195,185,187,..,445,"8,811",5.32%
,ירושלים,3000,915,"6,537",309,24,285,15,-,7,5,..,140,140,225,171,-54,188,84,-104,100,"6,637",1.53%
,ירושלים,3000,921,"3,410",144,18,126,9,-,..,..,-,17,17,114,121,7,85,38,-47,418,"3,828",12.26%
,ירושלים,3000,922,"3,304",118,16,102,4,..,-,..,..,32,32,158,93,-65,76,37,-39,-152,"3,152",-4.61%
,ירושלים,3000,923,"6,359",213,16,197,10,-,9,4,-5,92,92,212,221,9,219,103,-116,122,"6,481",1.92%
,ירושלים,3000,924,197,4,..,..,-,-,-,-,-,-,-,11,..,-8,5,..,-4,-137,60,-69.64%
,ירושלים,3000,925,732,8,..,6,..,-,..,4,..,..,..,11,22,11,48,22,-26,-23,708,-3.18%
