מחוז,סמל יישוב,שם יישוב,אזור סטטיסטי,סך הכל אוכלוסייה באזור הסטטיסטי,מזה: חרדים מספרים מוחלטים,מזה: חרדים אחוזים
ירושלים,3000,ירושלים,921,"3,828","3,142",82.1
ירושלים,3000,ירושלים,922,"3,152","2,449",77.7
ירושלים,3000,ירושלים,923,"6,481","4,960",76.5
ירושלים,3000,ירושלים,924,60,..,..
ירושלים,3000,ירושלים,931,"2,936","2,364",80.5
ירושלים,3000,ירושלים,932,"6,417","5,547",86.4
ירושלים,3000,ירושלים,933,"4,590","4,186",91.2
ירושלים,3000,ירושלים,934,"2,229","1,841",82.6
ירושלים,3000,ירושלים,1011,"4,760",83,1.7
ירושלים,3000,ירושלים,1012,"5,330",..,..
ירושלים,3000,ירושלים,1013,"4,588",..,..
ירושלים,3000,ירושלים,1014,"3,381",132,3.9
ירושלים,3000,ירושלים,1015,"5,592","1,985",35.5
ירושלים,3000,ירושלים,1016,"3,895","1,876",48.2
ירושלים,3000,ירושלים,1021,"1,151",268,23.2
ירושלים,3000,ירושלים,1024,344,..,..
ירושלים,3000,ירושלים,1031,"7,045","5,256",74.6
ירושלים,3000,ירושלים,1032,"4,141","3,457",83.5
ירושלים,3000,ירושלים,1034,"4,873","4,177",85.7
ירושלים,3000,ירושלים,1035,"5,836","4,918",84.3
ירושלים,3000,ירושלים,1041,"2,184",290,13.3
ירושלים,3000,ירושלים,1043,"4,791","1,902",39.7
ירושלים,3000,ירושלים,1044,"2,555",426,16.7
ירושלים,3000,ירושלים,1115,"2,033",81,4.0
ירושלים,3000,ירושלים,1121,"2,980",444,14.9
ירושלים,3000,ירושלים,1122,"5,086","2,298",45.2
ירושלים,3000,ירושלים,1123,"1,964",733,37.3
ירושלים,3000,ירושלים,1124,"4,169","1,637",39.3
ירושלים,3000,ירושלים,1131,"2,839",336,11.8
ירושלים,3000,ירושלים,1132,"4,831","1,581",32.7
ירושלים,3000,ירושלים,1134,"1,598",..,..
ירושלים,3000,ירושלים,1141,"4,756",704,14.8
ירושלים,3000,ירושלים,1142,"2,009",286,14.3
ירושלים,3000,ירושלים,1143,"4,411",516,11.7
ירושלים,3000,ירושלים,1144,"4,035",..,..
ירושלים,3000,ירושלים,1147,"3,655",..,..
ירושלים,3000,ירושלים,1211,"2,304",351,15.2
ירושלים,3000,ירושלים,1212,"3,159",175,5.5
ירושלים,3000,ירושלים,1213,"2,560",167,6.5
ירושלים,3000,ירושלים,1214,"2,691",..,..
ירושלים,3000,ירושלים,1215,"5,442",..,..
ירושלים,3000,ירושלים,1216,"4,208",486,11.5
ירושלים,3000,ירושלים,1217,"4,157",..,..
ירושלים,3000,ירושלים,1221,"6,870","2,887",42.0
ירושלים,3000,ירושלים,1222,"5,019",..,..
ירושלים,3000,ירושלים,1223,"3,683",..,..
ירושלים,3000,ירושלים,1311,"2,473",68,2.8
ירושלים,3000,ירושלים,1312,"3,416",..,..
ירושלים,3000,ירושלים,1313,"1,914",238,12.4
ירושלים,3000,ירושלים,1314,"2,007",..,..
ירושלים,3000,ירושלים,1322,"1,105",..,..
ירושלים,3000,ירושלים,1334,"2,500",74,3.0
ירושלים,3000,ירושלים,1335,"3,002",68,2.3
ירושלים,3000,ירושלים,1337,"3,179",89,2.8
ירושלים,3000,ירושלים,1341,"3,132",..,..
ירושלים,3000,ירושלים,1342,"4,533",..,..
ירושלים,3000,ירושלים,1343,"3,918",70,1.8
ירושלים,3000,ירושלים,1344,"3,242",115,3.5
ירושלים,3000,ירושלים,1345,"1,766",304,17.2
ירושלים,3000,ירושלים,1351,"4,251",..,..
ירושלים,3000,ירושלים,1352,"2,714",..,..
ירושלים,3000,ירושלים,1353,"2,434",..,..
ירושלים,3000,ירושלים,1354,"2,500",..,..
ירושלים,3000,ירושלים,1622,"17,676","1,783",10.1
ירושלים,3000,ירושלים,1623,"7,560",798,10.6
ירושלים,3000,ירושלים,1631,"3,642","1,439",39.5
ירושלים,3000,ירושלים,1632,"5,947",671,11.3
