סמל יישוב ,שם יישוב,אזור סטטיסטי,מין,"סה""כ",4-0,9-5,14-10,19-15,24-20,29-25,34-30,39-35,44-40,49-45,54-50,59-55,64-60,+65
998,ביר אל-מכסור,,נשים,"4,790",489,481,467,475,450,419,353,292,258,264,222,208,141,271
1348,ביר הדאג',,"סה""כ","6,012","1,295",922,640,604,570,411,364,236,227,227,176,121,85,134
1348,ביר הדאג',,גברים,"2,996",662,502,304,296,297,220,172,107,94,76,86,60,47,73
1348,ביר הדאג',,נשים,"3,016",633,420,336,308,273,192,191,129,133,151,90,60,38,61
480,בית ג'ן,,"סה""כ","12,151",956,936,997,"1,016","1,083","1,149","1,018",818,847,737,643,582,479,892
480,בית ג'ן,,גברים,"6,127",518,477,513,528,576,580,502,397,440,359,303,281,238,416
480,בית ג'ן,,נשים,"6,024",439,459,484,488,507,568,517,421,407,377,339,301,241,476
1326,"בסמ""ה",,"סה""כ","10,259","1,081","1,062","1,027","1,102","1,086",919,700,566,590,569,422,391,273,470
1326,"בסמ""ה",,גברים,"5,257",540,546,533,569,557,463,364,300,300,291,225,192,139,239
1326,"בסמ""ה",,נשים,"5,001",541,516,494,534,529,456,337,266,290,278,197,199,135,231
944,בסמת טבעון,,"סה""כ","7,997",716,734,705,866,786,672,547,465,481,480,455,360,277,453
944,בסמת טבעון,,גברים,"3,959",342,369,343,442,396,336,270,227,251,234,226,174,124,225
944,בסמת טבעון,,נשים,"4,038",374,365,362,424,390,335,277,238,230,246,230,186,153,228
483,בענה,,"סה""כ","8,434",730,765,813,895,865,736,557,517,542,518,437,351,249,458
483,בענה,,גברים,"4,240",390,399,421,439,441,347,284,253,274,260,234,170,123,204
483,בענה,,נשים,"4,194",340,366,393,455,424,389,273,264,268,257,204,181,126,254
1292,ג'דיידה-מכר,,"סה""כ","21,336","1,904","1,745","1,915","2,302","2,050","1,797","1,400","1,228","1,280","1,394","1,248","1,097",773,"1,203"
1292,ג'דיידה-מכר,,גברים,"10,737",961,884,984,"1,197","1,073",919,729,609,591,680,640,523,388,558
